subjects	S	age	R	rt
1	right	age17	right	0.422023399484958
1	left	age17	left	0.59042489501792
1	left	age17	right	0.430259651468404
1	right	age17	left	0.478868270096757
1	left	age17	right	0.366550920620117
1	left	age17	left	1.14096970429246
1	right	age17	right	0.656298849131724
1	left	age17	right	0.471185048650989
1	left	age17	left	0.621742414065606
1	left	age17	left	0.449189614939044
1	left	age17	right	0.65813728280557
1	left	age17	left	0.537766650760509
1	left	age17	left	0.513137455094109
1	left	age17	left	0.357853073330114
1	left	age17	left	0.507850550886757
1	right	age17	right	0.811742656682538
1	right	age17	right	0.80541021414847
1	right	age17	left	0.5275473470542
1	right	age17	right	0.716373019000588
1	right	age17	left	0.51400446612591
1	left	age17	right	0.489331357406257
1	left	age17	left	0.916476306456889
1	right	age17	right	1.44479521655319
1	right	age17	right	0.697238305082306
1	left	age17	left	0.697927499533695
1	left	age17	left	0.394119955992404
1	right	age17	right	0.402943337164195
1	left	age17	left	0.444083873142408
1	right	age17	right	0.920394569915919
1	right	age17	right	0.499953509824278
1	left	age17	left	0.514281787538796
1	right	age17	right	0.845623442164379
1	left	age17	right	0.468416835325379
1	right	age17	left	0.485943818741241
1	left	age17	left	0.607214877801128
1	right	age17	left	0.442322971359697
1	right	age17	right	0.36485563520692
1	right	age17	right	0.55299022175664
1	right	age17	right	0.516286866616473
1	right	age17	left	0.507774169458389
1	right	age17	right	1.09157261916879
1	right	age17	right	0.464594692850058
1	right	age17	right	0.482638455964934
1	left	age17	left	0.505272353614227
1	left	age17	right	0.975899943755333
1	left	age17	left	0.54547279766394
1	right	age17	left	0.805225920142137
1	left	age17	left	0.495933603965421
1	right	age17	right	0.426953478508888
1	left	age17	left	0.476968322211019
1	right	age17	right	0.461821957384065
1	right	age17	right	0.656675683829131
1	right	age17	right	1.4799818671628
1	right	age17	right	0.802804332987896
1	left	age17	right	0.469990331929224
1	left	age17	right	0.451802999865508
1	right	age17	right	0.50793586595713
1	right	age17	left	0.424197791076215
1	left	age17	left	0.637847618964201
1	right	age17	right	0.572985937766312
1	right	age17	right	0.591319798785869
1	left	age17	right	0.719387525976832
1	right	age17	right	0.380349623447778
1	left	age17	left	0.424308898480129
1	left	age17	left	0.471123012756392
1	left	age17	left	0.354566410364226
1	left	age17	left	0.955952570000721
1	right	age17	right	0.650424328154528
1	right	age17	left	1.08141604632019
1	left	age17	right	0.71242577102627
1	right	age17	right	0.365099087082768
1	right	age17	right	0.908571603560343
1	left	age17	right	0.774514544909208
1	left	age17	left	0.539214146346384
1	left	age17	left	0.446297612463475
1	right	age17	right	0.629405493064163
1	left	age17	right	0.657803659926685
1	right	age17	right	1.02313527759418
1	left	age17	left	0.72661524990386
1	right	age17	left	1.16785953257439
1	right	age17	right	0.644707885230099
1	right	age17	left	0.549781942380017
1	left	age17	left	0.439186286040978
1	right	age17	right	0.940420962618472
1	left	age17	right	0.715090829430428
1	right	age17	right	0.482097648065086
1	left	age17	left	0.743799154061415
1	right	age17	left	0.46961146421113
1	left	age17	left	0.874542467148747
1	right	age17	left	0.755172473134224
1	left	age17	left	0.572508452386212
1	right	age17	left	0.718253623292029
1	left	age17	right	0.50434325028061
1	left	age17	left	0.733372039748336
1	right	age17	right	0.428537272933019
1	right	age17	right	0.360211289918132
1	right	age17	right	0.539551429929333
1	right	age17	right	0.519929059351487
1	left	age17	left	0.639099707895106
1	right	age17	left	0.382292978435736
1	right	age17	right	0.514677741060876
1	left	age17	right	0.605923580150834
1	right	age17	right	0.353110678674066
1	left	age17	right	0.338668548539229
1	right	age17	left	0.489622026438546
1	right	age17	left	0.419866812402091
1	right	age17	right	0.398874919643778
1	right	age17	left	0.497730412777488
1	right	age17	right	0.543810140573641
1	left	age17	left	0.435679554695812
1	left	age17	left	0.574289421160926
1	left	age17	left	0.424259752383772
1	left	age17	right	0.53645433835515
1	left	age17	left	0.376795719153425
1	right	age17	left	0.609965294481066
1	right	age17	right	0.662333936377497
1	right	age17	right	0.482698093092476
1	left	age17	left	0.441669424468127
1	left	age17	right	0.743169652582538
1	right	age17	right	0.381501305651337
1	right	age17	right	0.35564588147504
1	right	age17	left	1.2758818655103
1	left	age17	right	0.447595746687623
1	right	age17	right	1.03168678944173
1	right	age17	right	0.35667445654955
1	left	age17	left	0.617482288215952
1	left	age17	right	0.769365874125745
1	left	age17	left	0.430418577864116
1	right	age17	right	0.544357643985121
1	right	age17	right	0.40225532332383
1	right	age17	left	0.54452195112892
1	left	age17	right	0.582295650101201
1	left	age17	left	0.653199982440674
1	left	age17	left	0.375393374817475
1	right	age17	right	0.447213041770743
1	right	age17	right	0.399689112669865
1	right	age17	right	0.624591957382508
1	left	age17	right	0.590441560261638
1	left	age17	right	0.495604223376867
1	right	age17	right	0.731870523238652
1	left	age17	left	0.376191602466369
1	left	age17	left	0.420999670379267
1	right	age17	left	0.365140685456145
1	right	age17	left	0.427211611382571
1	right	age17	right	0.611777539980068
1	left	age17	left	0.451902752944281
1	left	age17	left	0.392958398700736
1	left	age17	left	0.519203861504055
1	left	age17	right	0.409536462368678
1	left	age17	right	0.446339635233316
1	left	age17	left	0.480570694159802
1	left	age17	left	0.397203780068621
1	right	age17	left	0.399378306820954
1	left	age17	left	0.60375820491121
1	left	age17	left	0.451860411031586
1	left	age17	right	0.42975620151464
1	left	age17	left	0.40768716105904
1	right	age17	left	0.797511346956658
1	right	age17	right	0.575296000335733
1	right	age17	right	0.571497468006655
1	right	age17	right	0.436427090637825
1	right	age17	left	1.11997456519348
1	left	age17	left	0.814212366482446
1	left	age17	left	0.402749564420668
1	right	age17	right	0.75195071395557
1	right	age17	left	0.560763527950269
1	right	age17	right	0.782297517387746
1	left	age17	right	0.998982798637409
1	right	age17	right	0.845707235992045
1	left	age17	left	0.502753706747645
1	left	age17	left	0.417276661646359
1	right	age17	left	0.519766584458385
1	left	age17	left	0.38308924349861
1	left	age17	left	0.761772879094494
1	left	age17	left	1.26851435596679
1	right	age17	left	0.373718868198215
1	right	age17	right	0.507553858553914
1	left	age17	right	0.448327740050845
1	left	age17	left	0.459272912722892
1	left	age17	right	0.737036687836321
1	right	age17	right	0.519985820228473
1	left	age17	left	0.665790737923217
1	left	age17	right	0.683965997241247
1	right	age17	right	0.366279841046352
1	left	age17	left	0.545674900266307
1	left	age17	left	0.370859972166606
1	right	age17	left	0.418481237191068
1	right	age17	left	0.467235201701409
1	left	age17	left	0.505573320401102
1	right	age17	right	0.527309010708949
1	right	age17	right	0.678623910928371
1	right	age17	right	0.719835042703283
1	left	age17	right	0.471810110780979
1	right	age17	left	0.370766311455152
1	left	age17	left	0.575873523496713
1	left	age17	left	0.376783939244259
1	right	age17	right	0.383416994991559
1	right	age17	right	0.472569719783261
1	right	age17	left	0.406558764297165
1	left	age17	right	0.825522790676053
1	right	age17	right	0.670570477561056
1	right	age17	left	0.569164813817273
1	left	age17	left	0.869764753844673
1	left	age17	left	0.656728295946508
1	right	age17	left	0.747338427942109
1	right	age17	right	0.788491256760704
1	right	age17	right	0.608283993817211
1	left	age17	left	0.572138795634718
1	left	age17	left	0.474064125594151
1	left	age17	left	0.42070635464647
1	left	age17	left	0.983825688662374
1	left	age17	left	0.634038111690625
1	left	age17	right	0.643795564729114
1	right	age17	left	0.467796502369869
1	left	age17	left	0.37032695792787
1	left	age17	left	0.418751176030879
1	right	age17	left	0.402486420092959
1	right	age17	right	0.566823797401203
1	right	age17	right	0.372496052581275
1	right	age17	left	0.427614380746973
1	right	age17	right	0.566387591075983
1	left	age17	right	0.441934447830615
1	left	age17	right	0.326516613430374
1	left	age17	left	0.761737178330993
1	left	age17	left	1.22434149282603
1	left	age17	left	0.425046422912112
1	left	age17	right	0.530511646598264
1	right	age17	left	0.410326705963795
1	left	age17	left	0.462155199252422
1	right	age17	left	0.363122691688343
1	left	age25	left	0.688814448776054
1	right	age25	right	1.21651975481748
1	left	age25	left	0.872241464380163
1	left	age25	left	0.473267772520932
1	left	age25	left	0.419186272728464
1	right	age25	right	2.34732131278004
1	left	age25	left	0.585608034161032
1	left	age25	left	0.692222158928659
1	left	age25	left	0.722390899933082
1	right	age25	right	2.46651247688859
1	left	age25	left	0.618745502834761
1	right	age25	right	0.713311218646759
1	left	age25	right	0.58509008086568
1	left	age25	left	0.97911939614106
1	left	age25	right	1.17897048556627
1	left	age25	right	0.904174604971399
1	right	age25	right	1.2829083322082
1	left	age25	right	0.386080069336204
1	right	age25	left	0.840969097563373
1	left	age25	left	0.380150597632364
1	right	age25	left	0.501770103360202
1	left	age25	right	0.570526390668841
1	left	age25	left	1.24420439825144
1	left	age25	left	1.02263807616311
1	right	age25	right	0.763950710823616
1	right	age25	right	0.485789969912389
1	left	age25	left	1.88781404662215
1	left	age25	left	0.847239351242832
1	right	age25	right	0.467519276043544
1	left	age25	left	0.38296625878906
1	right	age25	right	0.784206807436835
1	left	age25	left	0.656612665703019
1	right	age25	right	0.448242246150744
1	right	age25	right	1.35842705280819
1	right	age25	right	1.56307731791954
1	right	age25	right	0.564915216885735
1	right	age25	left	1.93454799131508
1	right	age25	right	0.399174058666424
1	left	age25	left	1.18328274387614
1	left	age25	right	1.38104141299915
1	left	age25	right	1.05042996029853
1	right	age25	right	0.475743048926558
1	right	age25	right	0.522648526901198
1	left	age25	right	0.768472258790911
1	right	age25	right	1.13678053577339
1	right	age25	left	0.421263684227126
1	left	age25	left	1.30920609126301
1	left	age25	left	0.623406651026778
1	left	age25	left	1.02460854316612
1	right	age25	right	1.13636123343073
1	right	age25	right	0.886578799965378
1	left	age25	left	0.970203064389035
1	left	age25	left	2.64094391039762
1	left	age25	left	0.982500498720124
1	right	age25	left	0.858286786723698
1	right	age25	left	1.26658258871298
1	left	age25	left	1.74691472346119
1	left	age25	left	0.558169885495174
1	left	age25	left	0.903241273480895
1	left	age25	left	0.80789391519436
1	left	age25	left	0.936167328293622
1	right	age25	left	0.485099423907702
1	right	age25	left	0.79726230585605
1	right	age25	right	0.711817378692285
1	left	age25	left	0.516437210117691
1	left	age25	left	1.22576092722322
1	left	age25	left	0.872927016724712
1	right	age25	right	0.40234267730238
1	right	age25	right	0.384388258662768
1	right	age25	right	1.50082097355132
1	left	age25	right	0.864122844926386
1	left	age25	right	0.61872509515512
1	right	age25	right	3.25280718444082
1	right	age25	right	0.63424457095993
1	right	age25	left	1.57758507433557
1	left	age25	left	1.5188240877859
1	left	age25	left	0.579226297527998
1	right	age25	right	1.1872513848076
1	right	age25	left	0.581273727162167
1	left	age25	left	1.93548816985394
1	left	age25	left	2.26601691457832
1	left	age25	left	0.582334747863845
1	right	age25	right	1.23839533067151
1	right	age25	right	1.51697366157855
1	left	age25	left	0.864503457765979
1	right	age25	right	1.16082478988477
1	left	age25	left	0.461432281509923
1	right	age25	right	0.608231811038473
1	right	age25	right	0.511786540272889
1	left	age25	right	0.695663526278006
1	left	age25	left	0.828406558605629
1	right	age25	right	1.82163307922566
1	left	age25	left	0.610547574336392
1	right	age25	left	0.415114425783085
1	right	age25	left	0.839899235910946
1	right	age25	right	0.623313485505678
1	right	age25	right	0.442436980522277
1	left	age25	left	1.5118392410618
1	left	age25	left	0.502275506667408
1	right	age25	left	0.535124438935976
1	left	age25	left	0.925103309382378
1	left	age25	left	0.916257846799431
1	right	age25	right	0.886075557070037
1	right	age25	right	2.84219435384707
1	left	age25	left	0.537792973210699
1	right	age25	right	1.15447128958351
1	left	age25	left	0.679287025396103
1	right	age25	right	1.33253915397852
1	right	age25	right	0.754872445268399
1	right	age25	right	1.09641317367601
1	right	age25	right	1.69859060798901
1	left	age25	left	0.589013549226705
1	right	age25	right	1.27785460075655
1	left	age25	right	1.20636109132882
1	right	age25	right	0.467140569206713
1	right	age25	right	1.16980725850933
1	right	age25	right	1.11916767128448
1	right	age25	right	0.571569557449364
1	right	age25	right	1.54305078848659
1	left	age25	left	0.8858524679769
1	left	age25	left	0.706581371397242
1	left	age25	left	1.20081197810649
1	right	age25	right	0.837335787985709
1	right	age25	right	0.551215451699157
1	right	age25	left	0.76932543506231
1	left	age25	left	1.10510028757948
1	right	age25	right	1.0288048544895
1	left	age25	left	0.690056846000218
1	right	age25	right	0.691003528924521
1	left	age25	right	0.591487916844206
1	right	age25	right	0.612458370556699
1	right	age25	left	1.17294113938066
1	left	age25	left	0.615882957445766
1	right	age25	left	0.881009498205492
1	left	age25	right	2.19449654338972
1	right	age25	right	0.677551976291527
1	right	age25	right	3.8004390525575
1	left	age25	left	0.608236578372131
1	right	age25	right	0.626513211122723
1	left	age25	left	2.10585100641761
1	left	age25	left	1.51066631498233
1	left	age25	right	0.701875246333387
1	left	age25	left	0.534073495733063
1	left	age25	left	0.986447525583573
1	right	age25	left	1.48258823832994
1	left	age25	left	0.843061056114743
1	left	age25	left	0.4367956253411
1	right	age25	right	0.82875853174807
1	left	age25	left	0.479882999475145
1	right	age25	right	0.877274626243606
1	left	age25	left	1.14031181620707
1	right	age25	left	0.665799012618647
1	left	age25	left	1.14099478390937
1	left	age25	left	0.420222494209267
1	left	age25	left	0.507863603640256
1	right	age25	right	0.624507971665608
1	right	age25	right	0.871496382250245
1	left	age25	right	1.50161724160553
1	right	age25	right	1.05739680354162
1	right	age25	right	1.19712255780262
1	left	age25	left	1.44037218213088
1	right	age25	right	0.436606225144957
1	left	age25	left	0.758976770102332
1	right	age25	right	0.693677632188263
1	left	age25	left	1.18329743621077
1	left	age25	left	0.770801064039176
1	right	age25	left	0.784372617443826
1	left	age25	left	1.39677439845092
1	right	age25	right	1.86934098554628
1	right	age25	right	0.834553284344359
1	left	age25	right	0.602917017226033
1	left	age25	left	0.404119649764409
1	left	age25	left	1.09608568906153
1	right	age25	left	0.858376382880191
1	right	age25	right	0.700058464142467
1	right	age25	right	0.836562423368523
1	left	age25	left	0.663656225886928
1	left	age25	left	0.867238085330658
1	right	age25	right	0.697339646383234
1	left	age25	right	0.709604317619508
1	right	age25	right	0.75536144033991
1	right	age25	right	0.932895451522893
1	left	age25	left	0.972482538967436
1	left	age25	left	1.60668376069065
1	left	age25	left	1.21083269988961
1	right	age25	left	1.13160569307052
1	right	age25	right	1.11820537797082
1	left	age25	right	0.938253720207553
1	right	age25	right	0.557395166208752
1	left	age25	left	0.655701065935986
1	left	age25	left	1.65474354704134
1	right	age25	left	1.11896691146573
1	right	age25	right	0.736431890251829
1	right	age25	left	0.450740727647614
1	right	age25	left	1.53937408944829
1	left	age25	left	0.530055557646258
1	left	age25	left	0.445326108135861
1	right	age25	right	0.831972008303143
1	left	age25	left	0.446925237772723
1	left	age25	left	1.7667616575367
1	right	age25	right	1.22569965036751
1	right	age25	left	0.434281465152576
1	right	age25	right	0.577864741561009
1	right	age25	left	1.14797840969761
